Confidence Set Size (Mean),Confidence Risk (Mean),Localization Set Size (Mean),Localization Risk (Mean),Classification Set Size (Mean),Classification Risk (Mean),Global Risk (Mean),Confidence Alpha,Localization Alpha,Classification Alpha,Global Alpha,Matching Function,Confidence Method,Localization Method,Classification Prediction Set,Localization Prediction Set
11.710399627685547,0.0189005509018898,6.961021900177002,0.0544000007212162,67.58087158203125,0.053133103996515274,0.10605422407388687,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,lac,multiplicative
11.710399627685547,0.0189005509018898,5.458196640014648,0.04560000076889992,41.664432525634766,0.041638828814029694,0.08346215635538101,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,aps,additive
11.710399627685547,0.0189005509018898,6.961021900177002,0.0544000007212162,41.664432525634766,0.041638828814029694,0.09481322020292282,0.02,0.05,0.05,0.1,mix,box_count_recall,thresholded,aps,multiplicative
11.710399627685547,0.0189005509018898,3.866952419281006,0.048709213733673096,67.58087158203125,0.053133103996515274,0.09350648522377014,0.02,0.05,0.05,0.1,mix,box_count_recall,pixelwise,lac,additive
11.710399627685547,0.0189005509018898,4.535240650177002,0.04915299639105797,67.58087158203125,0.053133103996515274,0.0975918248295784,0.02,0.05,0.05,0.1,mix,box_count_recall,pixelwise,lac,multiplicative
11.710399627685547,0.0189005509018898,3.866952419281006,0.048709213733673096,41.664432525634766,0.041638828814029694,0.08139672875404358,0.02,0.05,0.05,0.1,mix,box_count_recall,pixelwise,aps,additive
11.710399627685547,0.0189005509018898,4.535240650177002,0.04915299639105797,41.664432525634766,0.041638828814029694,0.0858827754855156,0.02,0.05,0.05,0.1,mix,box_count_recall,pixelwise,aps,multiplicative
11.710399627685547,0.0189005509018898,5.232079029083252,0.04527756944298744,67.58087158203125,0.053133103996515274,0.09017307311296463,0.02,0.05,0.05,0.1,mix,box_count_recall,boxwise,lac,additive
11.710399627685547,0.0189005509018898,6.233287334442139,0.04767954722046852,67.58087158203125,0.053133103996515274,0.09651582688093185,0.02,0.05,0.05,0.1,mix,box_count_recall,boxwise,lac,multiplicative
11.710399627685547,0.0189005509018898,5.232079029083252,0.04527756944298744,41.664432525634766,0.041638828814029694,0.07910515367984772,0.02,0.05,0.05,0.1,mix,box_count_recall,boxwise,aps,additive
11.710399627685547,0.0189005509018898,6.233287334442139,0.04767954722046852,41.664432525634766,0.041638828814029694,0.08497516065835953,0.02,0.05,0.05,0.1,mix,box_count_recall,boxwise,aps,multiplicative
18.855199813842773,0.012400000356137753,6.247283458709717,0.04600000008940697,70.22433471679688,0.05228295177221298,0.09450200200080872,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,thresholded,lac,additive
18.855199813842773,0.012400000356137753,7.439847469329834,0.04639999940991402,70.22433471679688,0.05228295177221298,0.09745518118143082,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,thresholded,lac,multiplicative
18.855199813842773,0.012400000356137753,6.247283458709717,0.04600000008940697,40.90131378173828,0.04336069896817207,0.08635974675416946,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,thresholded,aps,additive
18.855199813842773,0.012400000356137753,7.439847469329834,0.04639999940991402,40.90121841430664,0.04336069896817207,0.08895950019359589,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,thresholded,aps,multiplicative
18.855199813842773,0.012400000356137753,4.343535900115967,0.04768337309360504,70.22433471679688,0.05228295177221298,0.09257373958826065,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,pixelwise,lac,additive
18.855199813842773,0.012400000356137753,4.619144439697266,0.04732382297515869,70.22433471679688,0.05228295177221298,0.09521441161632538,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,pixelwise,lac,multiplicative
18.855199813842773,0.012400000356137753,4.343535900115967,0.04768337309360504,40.90127944946289,0.04336069896817207,0.08292371034622192,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,pixelwise,aps,additive
18.855199813842773,0.012400000356137753,4.619144439697266,0.04732382297515869,40.9012565612793,0.04336069896817207,0.08618121594190598,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,pixelwise,aps,multiplicative
18.855199813842773,0.012400000356137753,6.12105131149292,0.04310108721256256,70.22433471679688,0.05228295177221298,0.08864490687847137,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,boxwise,lac,additive
18.855199813842773,0.012400000356137753,6.588773250579834,0.045226190239191055,70.22433471679688,0.05228295177221298,0.09338824450969696,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,boxwise,lac,multiplicative
18.855199813842773,0.012400000356137753,6.12105131149292,0.04310108721256256,40.90127944946289,0.04336069896817207,0.0796244740486145,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,boxwise,aps,additive
18.855199813842773,0.012400000356137753,6.588773250579834,0.045226190239191055,40.90121841430664,0.04336069896817207,0.0846032202243805,0.02,0.05,0.05,0.1,hausdorff,box_count_threshold,boxwise,aps,multiplicative
11.710399627685547,0.0189005509018898,5.451345443725586,0.046799998730421066,67.97884368896484,0.053884971886873245,0.09572401642799377,0.02,0.05,0.05,0.1,hausdorff,box_count_recall,thresholded,lac,additive
