Confidence Set Size (Mean),Confidence Risk (Mean),Localization Set Size (Mean),Localization Risk (Mean),Classification Set Size (Mean),Classification Risk (Mean),Global Risk (Mean),Confidence Alpha,Localization Alpha,Classification Alpha,Global Alpha,Matching Function,Confidence Method,Localization Method,Classification Prediction Set,Localization Prediction Set
11.710399627685549,0.0189005509018898,4.996139049530029,0.0437559187412261,67.97884368896484,0.0538849718868732,0.0939222872257232,0.02,0.05,0.05,0.1,hausdorff,box_count_recall,pixelwise,lac,multiplicative
11.710399627685549,0.0189005509018898,3.866952419281006,0.0486603789031505,41.731201171875,0.0427971519529819,0.0823932513594627,0.02,0.05,0.05,0.1,hausdorff,box_count_recall,pixelwise,aps,additive
11.710399627685549,0.0189005509018898,4.996139049530029,0.0437559187412261,41.731201171875,0.0427971519529819,0.0821225345134735,0.02,0.05,0.05,0.1,hausdorff,box_count_recall,pixelwise,aps,multiplicative
11.710399627685549,0.0189005509018898,5.225225925445557,0.0457415245473384,67.97884368896484,0.0538849718868732,0.0918136686086654,0.02,0.05,0.05,0.1,hausdorff,box_count_recall,boxwise,lac,additive
11.710399627685549,0.0189005509018898,6.985279560089111,0.0416399426758289,67.97884368896484,0.0538849718868732,0.0921172276139259,0.02,0.05,0.05,0.1,hausdorff,box_count_recall,boxwise,lac,multiplicative
11.710399627685549,0.0189005509018898,5.225225925445557,0.0457415245473384,41.731201171875,0.0427971519529819,0.0807638093829155,0.02,0.05,0.05,0.1,hausdorff,box_count_recall,boxwise,aps,additive
11.710399627685549,0.0189005509018898,6.985279560089111,0.0416399426758289,41.731201171875,0.0427971519529819,0.0806541889905929,0.02,0.05,0.05,0.1,hausdorff,box_count_recall,boxwise,aps,multiplicative
18.855199813842773,0.0124000003561377,25.036888122558594,0.0504000000655651,0.7168436050415039,0.0489072427153587,0.0946083068847656,0.02,0.05,0.05,0.1,lac,box_count_threshold,thresholded,lac,additive
18.855199813842773,0.0124000003561377,21.664945602416992,0.0428000018000602,0.7168436050415039,0.0489072427153587,0.0869307667016983,0.02,0.05,0.05,0.1,lac,box_count_threshold,thresholded,lac,multiplicative
18.855199813842773,0.0124000003561377,25.036888122558594,0.0504000000655651,0.9959999918937684,0.0428455658257007,0.0892713740468025,0.02,0.05,0.05,0.1,lac,box_count_threshold,thresholded,aps,additive
